event_id,session_id,user_id,event_type,product_id,product_name,category,country,device_type,traffic_source,quantity,price,discount,event_timestamp
f0e71531-58e5-474c-bcd6-fff1c407d2c7,cc145e4a-899f-417c-aee1-91c7f2b94c68,142,purchase,103,Keyboard,Accessories,Nigeria,desktop,organic,5,70,0.05,2026-06-11 14:12:27
2f79288b-8a68-4e5c-a295-5773cc7f3b3c,b7b815b5-2285-4f57-ba41-d7596adcf9c8,719,purchase,103,Keyboard,Accessories,Kenya,desktop,facebook,5,70,0.01,2026-06-11 14:12:28
5650ccad-9467-46b1-a997-f1bf1f48652b,0d0ef999-3864-49c9-8067-22759b29a635,858,view,103,Keyboard,Accessories,Rwanda,desktop,google,5,70,0.14,2026-06-11 14:12:29
fcec304a-f0cf-4b8c-abbb-85fa1881e1c7,a5a00cc4-990d-47e0-bac3-11d470c0b9d2,205406,view,101,Laptop,Electronics,Kenya,mobile,organic,3,1200,0.19,2026-06-11 14:12:30
a8ec26ff-301e-4c4c-9033-2b13b708de03,23c3c1d8-a0a2-440b-8475-bde4fcb3423b,834,purchase,103,Keyboard,Accessories,Rwanda,mobile,organic,2,70,0.08,2026-06-11 14:12:31
db8c79f5-1f17-4fac-be32-8b4ae531c772,d5fd65f1-60bb-4a1a-8f8b-64432c7f2572,389341,purchase,102,Phone,Electronics,Nigeria,desktop,facebook,5,800,0.11,2026-06-11 14:12:32
51a5312b-db0c-4ba4-b789-90f5a17ed392,f04c473a-9212-4d88-9040-a6566b90dba8,284,view,102,Phone,Electronics,Nigeria,desktop,google,2,800,0.16,2026-06-11 14:12:33
3680c2ab-6430-4f3c-9a7a-bf6da74f28c2,84d709dc-5ec2-4a58-814f-c1aa60bf3353,257530,purchase,101,Laptop,Electronics,Ghana,mobile,organic,2,1200,0.18,2026-06-11 14:12:34
d89ca8e2-88c8-4f56-ad23-51c6fa805a1f,4d0c265e-68ac-4915-a155-45271ec0f0ed,415201,purchase,102,Phone,Electronics,Kenya,mobile,facebook,5,800,0.12,2026-06-11 14:12:35
7de8feec-3ee6-4f2f-8851-0a0b061c6e4c,9fb97fca-5523-46a1-b0c2-e344a902a634,173374,view,104,Mouse,Accessories,Nigeria,mobile,google,1,40,0.01,2026-06-11 14:12:36
a7476039-0931-4b59-8005-072d97c011ec,f0f6aab6-e7eb-4e8d-87ae-7d8bdfb49878,950793,view,102,Phone,Electronics,Nigeria,mobile,organic,1,800,0.04,2026-06-11 14:12:37
a2795188-4879-4571-8a04-7b7a9b85d2fa,4356e8dd-e914-4330-a30a-1f3ed515a582,717946,view,104,Mouse,Accessories,Nigeria,desktop,facebook,4,40,0.02,2026-06-11 14:12:38
a701f5b9-9a06-40d3-912b-32d687315e50,08f70f96-ac98-4c58-8c87-aaa8a582ab65,932370,view,102,Phone,Electronics,Nigeria,desktop,organic,1,800,0.04,2026-06-11 14:12:39
e8eac48c-ab89-49ef-893f-dea72e4f3453,12ddd0b5-8d09-4791-97b3-367613c6d294,922903,purchase,102,Phone,Electronics,Rwanda,desktop,google,2,800,0.03,2026-06-11 14:12:40
8e3df022-77fd-4c83-90fe-8b55014fa2fc,be795360-1617-4a6a-a9b6-db0baefc3fc8,371,purchase,101,Laptop,Electronics,Nigeria,mobile,google,1,1200,0.02,2026-06-11 14:12:41
62720b51-4eb8-453e-a964-d374adbcf263,e45d8b07-11a6-45b1-82c6-158644b59f97,674,purchase,102,Phone,Electronics,Rwanda,desktop,facebook,4,800,0.2,2026-06-11 14:12:42
9bf5a4d5-2152-404d-bc9c-2c38b1dbd228,2fe0b128-c3ab-4088-a71c-21047061facd,202233,view,102,Phone,Electronics,Ghana,mobile,facebook,2,800,0.02,2026-06-11 14:12:43
1518850f-ccda-4794-995a-2dc9446990df,c3913aa2-b906-4227-b630-a74e6e982f2a,170,view,101,Laptop,Electronics,Nigeria,desktop,google,3,1200,0.04,2026-06-11 14:12:44
641b09e4-4dec-46da-a89f-b05788dcb721,125d0591-89cc-43e3-8882-2ccf61335eb3,426,purchase,103,Keyboard,Accessories,Rwanda,mobile,google,1,70,0.07,2026-06-11 14:12:45
5c0c91e0-38ab-44e6-a566-191658ccecc1,808ce826-f80c-4384-adc2-a9ddb3a7d7cf,926775,view,103,Keyboard,Accessories,Rwanda,mobile,google,5,70,0.03,2026-06-11 14:12:46
fd0af948-bae6-4100-be6a-4a59e7d58a0d,d792e4b9-d558-46a7-86f6-91021963f50f,686289,purchase,103,Keyboard,Accessories,Rwanda,desktop,facebook,4,70,0.14,2026-06-11 14:12:47
6aa21fde-8034-47cb-9277-5727efc5f661,27e7ab2a-587d-4819-8246-f5fbe011feb0,866907,view,102,Phone,Electronics,Kenya,mobile,facebook,3,800,0.2,2026-06-11 14:12:48
719a07b5-473a-42c5-9085-c5240fa32913,2884c32a-e536-48c3-beb4-ccde15ecc6fa,544418,purchase,104,Mouse,Accessories,Rwanda,mobile,google,4,40,0.15,2026-06-11 14:12:49
